Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
HD209458b,Transit,NIRCAM.GRISMR+F322W2,994.700634336042,542.504074503367,3.5247499,15.233,1448.0
HD209458b,Transit,NIRCAM.GRISMR+F444W,994.700634336042,542.504074503367,3.5247499,15.233,1448.0
HD209458b,Transit,MIRI.LRS,994.700634336042,542.504074503367,3.5247499,15.233,1448.0
HD209458b,Transit,MIRI.LRS,994.700634336042,542.504074503367,3.5247499,15.233,1448.0
HD260655b,Eclipse,MIRI.F1500W,28.6597527099115,11.783373403618,2.76953,1.24,708.553925859866
HD260655b,Eclipse,MIRI.F1500W,28.6597527099115,11.783373403618,2.76953,1.24,708.553925859866
HD80606b,PhaseC,MIRI.LRS,12.599284985454,7.70833732396021,111.43639,11.243,405.0
HD80606b,PhaseC,NIRSPEC.BOTS+G395H,12.599284985454,7.70833732396021,111.43639,11.243,405.0
HIP67522b,Transit,NIRSPEC.BOTS+G395H,,52.6342426261629,6.959503,10.07,1174.0
K2141b,Transit,NIRSPEC.BOTS+G395H,60.4054840441078,14.9697341785915,0.2803244,1.51,2100.62822194415
K2141b,PhaseC,MIRI.LRS,60.4054840441078,14.9697341785915,0.2803244,1.51,2100.62822194415
K218b,Transit,NIRSPEC.BOTS+G235H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G235H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,NIRSPEC.BOTS+G395H,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
K218b,Transit,MIRI.LRS,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
TOI270d,Transit,NIRISS.SOSS,103.814731876136,2.06667477776887,11.379573,2.133,387.0
K222b,Transit,MIRI.LRS,0.422882113151385,6.41279756534761,0.381073,2.3,1448.91922033662
K222b,Transit,MIRI.LRS,0.422882113151385,6.41279756534761,0.381073,2.3,1448.91922033662
K222b,,MIRI.LRS,0.422882113151385,6.41279756534761,0.381073,2.3,1448.91922033662
K234b,Transit,NIRISS.SOSS,36.3422452536464,62.2908816254154,2.9956348,13.75,1687.0
KELT7b,Transit,NIRSPEC.BOTS+G395H,253.95850140235,245.780149198614,2.7347703,17.183,2048.0
Kepler12b,Transit,NIRSPEC.BOTS+PRISM,142.755453604385,42.7616126789023,4.4379654,19.565,1513.07873023011
Kepler12b,Transit,NIRSPEC.BOTS+PRISM,142.755453604385,42.7616126789023,4.4379654,19.565,1513.07873023011
Kepler51b,Transit,NIRSPEC.BOTS+PRISM,126.562113799772,0.624500732748364,45.1542,6.89,495.838133471364
Kepler51d,PhaseC,NIRSPEC.BOTS+PRISM,149.056213239288,0.260015474434576,130.1845,9.46,348.513041514798
Kepler86b,PhaseC,NIRSPEC.BOTS+PRISM,,,,,
L1689b,Transit,MIRI.LRS,7.67476316708935,9.56487973922704,1.4015272,1.39,965.0
L1689b,Transit,NIRSPEC.BOTS+G395H,7.67476316708935,9.56487973922704,1.4015272,1.39,965.0
L1689b,Transit,NIRSPEC.BOTS+G395H,7.67476316708935,9.56487973922704,1.4015272,1.39,965.0
L1689b,Transit,NIRSPEC.BOTS+G395H,7.67476316708935,9.56487973922704,1.4015272,1.39,965.0
L9859b,Transit,NIRSPEC.BOTS+G395H,52.0387566554768,5.28898196212995,2.2531136,0.85,619.753565855805
L9859b,Transit,NIRSPEC.BOTS+G395H,52.0387566554768,5.28898196212995,2.2531136,0.85,619.753565855805
L9859b,Transit,NIRSPEC.BOTS+G395H,52.0387566554768,5.28898196212995,2.2531136,0.85,619.753565855805
L9859c,Transit,NIRISS.SOSS,28.5928475655238,7.75623755631035,3.6906745,1.34,525.832334605765
L9859c,Transit,NIRSPEC.BOTS+G395H,28.5928475655238,7.75623755631035,3.6906745,1.34,525.832334605765
L9859c,Transit,NIRSPEC.BOTS+G395H,28.5928475655238,7.75623755631035,3.6906745,1.34,525.832334605765
L9859c,Eclipse,MIRI.F1500W,28.5928475655238,7.75623755631035,3.6906745,1.34,525.832334605765
L9859d,Transit,NIRISS.SOSS,257.567785499348,4.39191157680129,7.450729,1.58,415.9146589516
L9859d,Transit,NIRSPEC.BOTS+G395H,257.567785499348,4.39191157680129,7.450729,1.58,415.9146589516
L9859d,Transit,NIRISS.SOSS,257.567785499348,4.39191157680129,7.450729,1.58,415.9146589516
L9859d,Transit,NIRSPEC.BOTS+G395H,257.567785499348,4.39191157680129,7.450729,1.58,415.9146589516
LHS1140b,Transit,NIRSPEC.BOTS+G395H,54.7081016161696,0.195031679402192,24.73694,1.635,233.769203440532
LHS1140b,Transit,NIRSPEC.BOTS+G235H,54.7081016161696,0.195031679402192,24.73694,1.635,233.769203440532
LHS1140c,Eclipse,MIRI.F1500W,20.4779109979524,3.2900840018675,3.77792,1.169,437.965573545856
LHS1140c,Eclipse,MIRI.F1500W,20.4779109979524,3.2900840018675,3.77792,1.169,437.965573545856
LHS1140c,Eclipse,MIRI.F1500W,20.4779109979524,3.2900840018675,3.77792,1.169,437.965573545856
LHS1478b,Eclipse,MIRI.F1500W,17.7582193389777,6.7567006741963,1.9495378,1.242,595.0
LHS1478b,Eclipse,MIRI.F1500W,17.7582193389777,6.7567006741963,1.9495378,1.242,595.0
LHS3844b,Eclipse,MIRI.LRS,,28.6166637312711,0.4629296,1.303,804.404146131436
LHS3844b,Eclipse,MIRI.LRS,,28.6166637312711,0.4629296,1.303,804.404146131436
LHS3844b,Eclipse,MIRI.LRS,,28.6166637312711,0.4629296,1.303,804.404146131436
LHS3844b,PhaseC,NIRSPEC.BOTS+G395H,,28.6166637312711,0.4629296,1.303,804.404146131436
TOI270d,Transit,NIRISS.SOSS,103.814731876136,2.06667477776887,11.379573,2.133,387.0
LTT1445Ab,Transit,NIRSPEC.BOTS+G395H,29.738492312108,5.4458538322525,5.3587657,1.305,423.782711960948
LTT1445Ab,Eclipse,MIRI.LRS,29.738492312108,5.4458538322525,5.3587657,1.305,423.782711960948
LTT1445Ab,Eclipse,MIRI.LRS,29.738492312108,5.4458538322525,5.3587657,1.305,423.782711960948
LTT1445Ab,Eclipse,MIRI.LRS,29.738492312108,5.4458538322525,5.3587657,1.305,423.782711960948
LTT3780b,Eclipse,MIRI.F1500W,17.6591803235649,13.2908252283101,0.76837883,1.32,912.345413705339
LTT3780b,Eclipse,MIRI.F1500W,17.6591803235649,13.2908252283101,0.76837883,1.32,912.345413705339
TOI270d,Transit,NIRISS.SOSS,103.814731876136,2.06667477776887,11.379573,2.133,387.0
LTT3780c,Transit,NIRSPEC.BOTS+G395H,89.9553340576387,1.94965613417027,12.252196,2.33,362.153692712542
LTT3780c,Transit,MIRI.LRS,89.9553340576387,1.94965613417027,12.252196,2.33,362.153692712542
LTT9779b,PhaseC,NIRISS.SOSS,184.900866744492,66.2764860865379,0.792052,4.72,1978.0
LTT9779b,PhaseC,NIRSPEC.BOTS+G395H,184.900866744492,66.2764860865379,0.792052,4.72,1978.0
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRCAM.GRISMR+F444W,,,,,
nan,Transit,NIRCAM.GRISMR+F444W,,,,,
nan,Transit,NIRCAM.GRISMR+F444W,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
nan,Transit,NIRSPEC.BOTS+G395H,,,,,
NGTS10b,PhaseC,NIRSPEC.BOTS+PRISM,37.2590782951888,115.947324809302,0.7668944,13.507,1332.0
NGTS2b,Transit,NIRSPEC.BOTS+G395H,138.374557273489,66.113558468145,4.5111228,17.878,1468.0
TOI1130b,,NIRSPEC.BOTS+G395H,,16.1612970315984,4.066499,3.65,810.0
TOI1130b,,NIRISS.SOSS,,16.1612970315984,4.066499,3.65,810.0
TOI1130c,,NIRSPEC.BOTS+G395H,365.088687001828,180.604334764402,8.350381,16.814,637.0
