toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,pl_bmasse,scale,Vmag,Jmag,Hmag,TSM,vsini
5421.01,47132480,PC,06h30m29.08s,97.621169,+19d51m42.44s,19.861789,1.391,0.069,-0.069,0,-1.879,0.06,-0.06,0,2459541.720815,0.002486,-0.002486,0,6.5552932,0.0005037,-0.0005037,0,3.016,0.778,-0.778,0,0.00473,12.7527,-12.7527,0,19.1366,1.53989,-1.53989,0,938.617,,,,1542,,,,11.7692,0.012,-0.012,0,1198.93,61.345,-61.345,0,7787,152.8,-152.8,0,3.86,0.09,-0.09,0,2.64,0.16,-0.16,0,2022-04-20 18:22:39,2023-02-08 12:02:48,125.252953977747,1.15,12.118,11.367,11.249,81.2421700699723,
5422.01,80611440,PC,05h47m22.47s,86.843617,+25d37m33.72s,25.626034,8.357,0.11,-0.11,0,-0.151,0.089,-0.089,0,2459542.250192,0.003373,-0.003373,0,5.3767627,0.0004647,-0.0004647,0,4.241,0.394,-0.394,0,0.00238,2.54252,-2.54252,0,7.55274,0.605973,-0.605973,0,459.135,,,,1289,,,,11.2391,0.006,-0.006,0,346.141,7.167,-7.167,0,5663.5,103.8,-103.8,0,4.05,0.08,-0.08,0,1.57,0.11,-0.11,0,2022-04-20 18:22:40,2023-04-05 12:02:46,37.4024162422143,1.15,11.499,10.579,10.246,64.9223077093898,
5423.01,47319867,PC,07h12m18.26s,108.076091,+20d45m06.96s,20.751933,-5.745,0.048,-0.048,0,-17.711,0.038,-0.038,0,2459549.039683,0.007867,-0.007867,0,5.7163378,0.0017415,-0.0017415,0,2.66,0.435,-0.435,0,0.00282,13.4093,-13.4093,0,4.11482,0.382367,-0.382367,0,94.7057,,,,869,,,,12.6165,0.007,-0.007,0,261.785,1.95,-1.95,0,4964.8,105.8,-105.8,0,4.59,0.08,-0.08,0,0.76,0.04,-0.04,0,2022-04-20 18:22:40,2023-01-10 12:02:32,16.9832130918622,1.15,13.417,11.758,11.265,36.1542258644192,
5424.01,436099179,FP,05h35m20.94s,83.837234,+12d06m57.38s,12.115939,-7.404,0.067,-0.067,0,-1.81,0.053,-0.053,0,2459548.984631,0.002465,-0.002465,0,0.8999342,0.0000042,-0.0000042,0,1.606,0.306,-0.306,0,0.00172,5.17331,-5.17331,0,6.8761,0.547096,-0.547096,0,3729.32,,,,2177,,,,12.5284,0.007,-0.007,0,740.068,18.949,-18.949,0,6211,120.8,-120.8,0,4.09,0.08,-0.08,0,1.64,0.09,-0.09,0,2022-04-20 18:22:41,2022-05-09 12:02:45,33.1061442813114,1.15,13.036,11.856,11.549,45.2667855094474,
5425.01,429501231,PC,06h01m43.62s,90.431757,+22d14m44.47s,22.245686,2.642,0.063,-0.063,0,-7.9,0.05,-0.05,0,2459550.242065,0.001345,-0.001345,0,0.4553752,0.0000153,-0.0000153,0,0.604,0.085,-0.085,0,0.00349,13.3721,-13.3721,0,7.9095,0.61584,-0.61584,0,2215.14,,,,1911,,,,12.8591,0.007,-0.007,0,554.08,15.7705,-15.7705,0,6439,410.9,-410.9,0,4.49,0.12,-0.12,0,1.07,0.06,-0.06,0,2022-04-20 18:22:41,2023-02-27 12:02:51,39.7152685608325,1.15,13.508,12.06,11.746,70.3779868217162,
5426.01,127957099,PC,05h26m35.91s,81.649605,+31d37m58.99s,31.633052,-12.844,0.186,-0.186,0,-3.933,0.129,-0.129,0,2459541.462505,0.002267,-0.002267,0,5.8095099,0.0000437,-0.0000437,0,2.427,0.767,-0.767,0,0.00175,7.3974,-7.3974,0,5.0621,0.51398,-0.51398,0,398.441,,,,1244,,,,10.9753,0.006,-0.006,0,283.552,5.272,-5.272,0,6353.1,142,-142,0,4.42,0.1,-0.1,0,1.15,0.09,-0.09,0,2022-04-20 18:22:42,2023-02-08 12:02:48,22.2327764133566,1.15,11.572,10.275,10.006,59.7523028541994,
5427.01,52420398,PC,05h35m52.41s,83.968375,+12d55m33.41s,12.925947,0.758,0.073,-0.073,0,-32.606,0.058,-0.058,0,2459548.748875,0.000448,-0.000448,0,5.2374183,0.0000056,-0.0000056,0,3.741,0.064,-0.064,0,0.01163,0.642721,-0.642721,0,14.2208,0.824095,-0.824095,0,403.505,,,,1248,,,,11.659,0.006,-0.006,0,363.385,5.1995,-5.1995,0,6042.1,117.6,-117.6,0,4.28,0.09,-0.09,0,1.27,0.07,-0.07,0,2022-04-20 18:22:42,2023-01-10 12:02:32,85.1461472165235,1.15,12.14,11.062,10.753,203.382005825132,
5428.01,76545118,PC,05h48m49.06s,87.204409,+28d40m16.81s,28.671337,1.238,0.926,-0.926,0,-1.776,0.926,-0.926,0,2459547.272908,0.002529,-0.002529,0,3.0343155,0.0001933,-0.0001933,0,1.664,0.308,-0.308,0,0.0032,6.40275,-6.40275,0,12.5732,,,0,1230.19,,,,,,,,11.9736,0.006,-0.006,0,1066.66,,,0,8415,,,0,,,,0,2.16,,,0,2022-04-20 18:22:43,2023-02-08 12:02:48,72.5509886922546,1.15,12.352,11.434,11.327,,
5429.01,5800958,FP,05h15m57.24s,78.988494,+22d04m29.84s,22.074955,-4.087,0.089,-0.089,0,-4.084,0.058,-0.058,0,2459545.884668,0.00594,-0.00594,0,4.2318085,0.0005616,-0.0005616,0,2.558,0.364,-0.364,0,0.00178,4.4521,-4.4521,0,7.88895,0.591489,-0.591489,0,1128.72,,,,1614,,,,11.9696,0.016,-0.016,0,809.167,32.202,-32.202,0,8064,170.6,-170.6,0,4.17,0.08,-0.08,0,1.91,0.09,-0.09,0,2022-04-20 18:22:43,2023-04-03 12:03:26,39.5811792180157,1.15,12.662,11.361,11.251,41.861347724839,
543.01,53593457,FP,06h41m13.46s,100.306094,-03d55m32.99s,-3.925831,19.57,2,-2,0,-65.14,2,-2,0,2458468.332102,0.003362,-0.003362,0,0.530893,0.000146,-0.000146,0,1.910177,0.234509,-0.234509,0,0.033453597195,3058.0403,-3058.0403,0,3.747202,0.900232,-0.900232,0,61.4271911,,,,714.0192388,,,,15.0404,0.008,-0.008,0,,,,0,3085,99,-99,0,5.0795,0.549539,-0.549539,0,0.193,0.044,-0.044,0,2019-03-28 00:07:14,2021-10-29 12:59:15,15.0377548623465,1.28,18.17,13.371,12.828,191.932345025891,
